min_samples_split  max_depth  accuracy_score
	1.0        	1.0        0.777333
	1.0        	3.0        0.783917
	2.0        	1.0        0.777333
	2.0        	2.0        0.782333
	3.0        	3.0        0.783917
	3.0        	4.0        0.784917
	3.0        	5.0        0.788583
	4.0        	3.0        0.783917
	4.0        	4.0        0.784917
	4.0        	5.0        0.788583
	5.0        	3.0        0.783917
	5.0        	4.0        0.784917
	5.0        	5.0        0.788583
	5.0        	6.0        0.788500
	6.0        	4.0        0.784917
        6.0        	6.0          0.7885
	6.0        	8.0        0.795500
	7.0        	7.0          0.7935
	8.0        	8.0          0.7955
